FlightID,Airline,FlightNumber,Origin,Destination,ScheduledDeparture,ActualDeparture,ScheduledArrival,ActualArrival,DelayMinutes,DelayReason,Cancelled,Diverted,AircraftType,TailNumber,Distance
1704155,Delta,6087,LAX,SFO,2024-09-01 17:13,2024-09-01 17:30,2024-09-01 19:13,2024-09-01 19:26,13,Air Traffic Control,True,False,Boeing 737,N89865,1810
1704156,Delta,5904,ATL,SFO,2024-09-01 10:55,2024-09-01 11:01,2024-09-01 15:55,2024-09-01 16:05,10,Maintenance,True,False,Boeing 737,N38267,1594
1704157,United,2088,LAX,MIA,2024-09-01 21:56,2024-09-01 22:10,2024-09-02 00:56,2024-09-02 00:56,0,,True,False,Boeing 777,N54989,2396
1704158,United,6659,ATL,SFO,2024-09-01 05:00,2024-09-01 05:24,2024-09-01 09:00,2024-09-01 09:19,19,Weather,True,False,Airbus A320,N60714,890
1704159,United,1885,JFK,SEA,2024-09-01 16:19,2024-09-01 16:24,2024-09-01 18:19,2024-09-01 18:30,11,Weather,False,True,Airbus A320,N67777,1632
1704160,Delta,8190,JFK,JFK,2024-09-01 15:12,2024-09-01 15:14,2024-09-01 21:12,2024-09-01 21:07,-5,,False,True,Boeing 737,N19452,1402
1704161,American Airlines,3966,ATL,SFO,2024-09-01 08:12,2024-09-01 08:26,2024-09-01 10:12,2024-09-01 10:34,22,Weather,True,False,Airbus A320,N36169,2922
1704162,Southwest,2905,JFK,SEA,2024-09-01 09:14,2024-09-01 09:14,2024-09-01 11:14,2024-09-01 11:04,-10,,True,False,Boeing 777,N69177,1013
1704163,American Airlines,6823,ORD,SFO,2024-09-01 17:12,2024-09-01 17:30,2024-09-01 23:12,2024-09-01 23:18,6,Maintenance,True,True,Airbus A320,N99161,1328
1704164,United,1847,ORD,SFO,2024-09-01 21:36,2024-09-01 21:56,2024-09-02 00:36,2024-09-02 00:34,-2,,False,False,Boeing 777,N39548,1756
1704165,United,3582,DFW,JFK,2024-09-01 20:02,2024-09-01 20:32,2024-09-02 01:02,2024-09-02 01:21,19,Weather,True,True,Boeing 737,N84865,795
1704166,Southwest,3429,ATL,SFO,2024-09-01 13:34,2024-09-01 13:50,2024-09-01 14:34,2024-09-01 14:31,-3,,True,False,Boeing 737,N68366,497
1704167,Southwest,1089,ORD,BOS,2024-09-01 16:32,2024-09-01 16:36,2024-09-01 18:32,2024-09-01 18:41,9,Weather,True,True,Boeing 777,N27777,2360
1704168,Southwest,7165,JFK,MIA,2024-09-01 00:54,2024-09-01 01:11,2024-09-01 03:54,2024-09-01 04:14,20,Weather,True,False,Boeing 777,N42981,2730
1704169,Southwest,2012,DFW,JFK,2024-09-01 17:43,2024-09-01 17:56,2024-09-01 21:43,2024-09-01 21:40,-3,,False,False,Boeing 777,N44309,2162
1704170,Southwest,1071,DFW,BOS,2024-09-01 06:05,2024-09-01 06:13,2024-09-01 09:05,2024-09-01 09:24,19,Weather,False,False,Airbus A320,N12443,2906
1704171,Delta,4061,ORD,SFO,2024-09-01 06:25,2024-09-01 06:26,2024-09-01 07:25,2024-09-01 07:48,23,Maintenance,False,True,Boeing 737,N42597,583
1704172,American Airlines,8760,DFW,MIA,2024-09-01 22:48,2024-09-01 22:51,2024-09-02 02:48,2024-09-02 02:57,9,Weather,False,False,Boeing 777,N35583,1311
1704173,American Airlines,8948,DFW,MIA,2024-09-01 06:35,2024-09-01 06:49,2024-09-01 11:35,2024-09-01 11:34,-1,,False,False,Boeing 737,N28247,1642
1704174,Southwest,9709,LAX,SEA,2024-09-01 15:21,2024-09-01 15:33,2024-09-01 19:21,2024-09-01 19:47,26,Air Traffic Control,True,True,Airbus A320,N19262,1601
1704175,American Airlines,7500,JFK,JFK,2024-09-01 02:24,2024-09-01 02:25,2024-09-01 05:24,2024-09-01 05:41,17,Maintenance,True,False,Boeing 777,N92910,205
1704176,Delta,7980,DFW,SEA,2024-09-01 17:24,2024-09-01 17:31,2024-09-01 22:24,2024-09-01 22:18,-6,,True,False,Boeing 737,N44715,1196
1704177,Delta,4571,DFW,MIA,2024-09-01 17:44,2024-09-01 18:01,2024-09-01 22:44,2024-09-01 22:35,-9,,True,True,Boeing 777,N45076,250
1704178,Southwest,9056,ATL,BOS,2024-09-01 10:44,2024-09-01 11:01,2024-09-01 13:44,2024-09-01 13:42,-2,,False,False,Boeing 777,N59266,2404
1704179,United,6669,ATL,SEA,2024-09-01 01:21,2024-09-01 01:27,2024-09-01 05:21,2024-09-01 05:16,-5,,False,True,Boeing 737,N70890,1160
1704180,United,4911,JFK,SFO,2024-09-01 14:36,2024-09-01 14:52,2024-09-01 16:36,2024-09-01 16:58,22,Maintenance,False,True,Boeing 777,N89804,1802
1704181,United,3350,DFW,JFK,2024-09-01 03:09,2024-09-01 03:18,2024-09-01 09:09,2024-09-01 09:32,23,Weather,True,False,Airbus A320,N61968,425
1704182,United,2887,DFW,MIA,2024-09-01 12:15,2024-09-01 12:22,2024-09-01 16:15,2024-09-01 16:16,1,Air Traffic Control,True,True,Boeing 777,N52349,1791
1704183,Southwest,1359,ORD,MIA,2024-09-01 06:41,2024-09-01 07:07,2024-09-01 07:41,2024-09-01 08:11,30,Air Traffic Control,False,False,Boeing 777,N19274,1792
1704184,Southwest,9156,DFW,SFO,2024-09-01 09:54,2024-09-01 10:06,2024-09-01 14:54,2024-09-01 14:45,-9,,False,False,Boeing 777,N33595,163
1704185,American Airlines,3548,LAX,JFK,2024-09-01 11:12,2024-09-01 11:23,2024-09-01 13:12,2024-09-01 13:28,16,Weather,True,False,Boeing 777,N83780,165
1704186,Delta,9598,JFK,BOS,2024-09-01 05:18,2024-09-01 05:41,2024-09-01 11:18,2024-09-01 11:32,14,Air Traffic Control,False,True,Boeing 777,N31868,243
1704187,Delta,6183,DFW,SFO,2024-09-01 18:40,2024-09-01 18:52,2024-09-01 20:40,2024-09-01 20:55,15,Maintenance,True,True,Boeing 777,N15340,1108
1704188,Southwest,2079,LAX,MIA,2024-09-01 07:58,2024-09-01 08:14,2024-09-01 09:58,2024-09-01 10:20,22,Air Traffic Control,False,False,Airbus A320,N67770,2822
1704189,United,5653,DFW,JFK,2024-09-01 01:03,2024-09-01 01:18,2024-09-01 06:03,2024-09-01 06:12,9,Weather,False,False,Airbus A320,N71537,2154
1704190,Delta,2334,DFW,MIA,2024-09-01 18:49,2024-09-01 18:51,2024-09-01 20:49,2024-09-01 20:54,5,Maintenance,False,True,Boeing 737,N37884,1174
1704191,Southwest,7006,ATL,MIA,2024-09-01 23:56,2024-09-02 00:10,2024-09-02 05:56,2024-09-02 06:26,30,Air Traffic Control,True,False,Boeing 777,N42376,342
1704192,Delta,0986,LAX,BOS,2024-09-01 16:44,2024-09-01 16:58,2024-09-01 17:44,2024-09-01 18:12,28,Maintenance,True,False,Airbus A320,N35854,1812
1704193,Southwest,0895,LAX,SFO,2024-09-01 18:09,2024-09-01 18:12,2024-09-01 21:09,2024-09-01 21:06,-3,,False,False,Boeing 777,N77001,850
1704194,Southwest,7919,JFK,SEA,2024-09-01 03:12,2024-09-01 03:35,2024-09-01 04:12,2024-09-01 04:41,29,Weather,False,False,Airbus A320,N16793,130
1704195,Delta,2368,ATL,MIA,2024-09-01 18:55,2024-09-01 19:02,2024-09-01 23:55,2024-09-01 23:52,-3,,True,True,Airbus A320,N99962,1263
1704196,United,0270,LAX,SFO,2024-09-01 00:16,2024-09-01 00:45,2024-09-01 03:16,2024-09-01 03:07,-9,,True,False,Airbus A320,N49484,2592
1704197,American Airlines,8699,JFK,BOS,2024-09-01 20:50,2024-09-01 20:51,2024-09-01 22:50,2024-09-01 23:08,18,Air Traffic Control,True,False,Boeing 777,N83641,2587
1704198,Delta,8926,JFK,JFK,2024-09-01 02:04,2024-09-01 02:07,2024-09-01 04:04,2024-09-01 04:11,7,Weather,False,False,Boeing 777,N71274,1651
1704199,United,3419,LAX,SFO,2024-09-01 05:22,2024-09-01 05:22,2024-09-01 11:22,2024-09-01 11:19,-3,,False,False,Boeing 777,N24454,277
1704200,American Airlines,5114,JFK,SFO,2024-09-01 01:17,2024-09-01 01:24,2024-09-01 04:17,2024-09-01 04:28,11,Maintenance,False,False,Airbus A320,N57575,1970
1704201,American Airlines,0110,DFW,BOS,2024-09-01 16:28,2024-09-01 16:50,2024-09-01 17:28,2024-09-01 17:38,10,Weather,True,True,Boeing 777,N71659,422
1704202,Delta,3180,ATL,MIA,2024-09-01 12:08,2024-09-01 12:28,2024-09-01 16:08,2024-09-01 16:21,13,Maintenance,False,False,Airbus A320,N92179,2825
1704203,American Airlines,2134,LAX,MIA,2024-09-01 21:36,2024-09-01 21:37,2024-09-02 03:36,2024-09-02 03:34,-2,,True,True,Airbus A320,N73565,227
1704204,Delta,0703,JFK,BOS,2024-09-01 19:46,2024-09-01 19:57,2024-09-01 23:46,2024-09-02 00:06,20,Maintenance,True,True,Boeing 737,N97259,1873
1704205,American Airlines,5874,LAX,BOS,2024-09-01 07:29,2024-09-01 07:35,2024-09-01 10:29,2024-09-01 10:28,-1,,True,True,Boeing 777,N63004,2467
1704206,Delta,4752,LAX,JFK,2024-09-01 08:02,2024-09-01 08:30,2024-09-01 14:02,2024-09-01 14:24,22,Maintenance,True,False,Airbus A320,N14537,2548
1704207,Delta,6060,JFK,MIA,2024-09-01 15:23,2024-09-01 15:35,2024-09-01 19:23,2024-09-01 19:16,-7,,True,False,Airbus A320,N77975,717
1704208,Delta,5946,LAX,MIA,2024-09-01 07:42,2024-09-01 08:05,2024-09-01 11:42,2024-09-01 11:56,14,Weather,False,False,Airbus A320,N72575,2223
1704209,Delta,2632,JFK,SFO,2024-09-01 02:23,2024-09-01 02:35,2024-09-01 03:23,2024-09-01 03:49,26,Air Traffic Control,True,True,Boeing 777,N47241,2404
1704210,Delta,3809,JFK,SEA,2024-09-01 22:59,2024-09-01 23:14,2024-09-02 01:59,2024-09-02 02:25,26,Weather,False,True,Boeing 777,N32655,137
1704211,Southwest,9622,JFK,SFO,2024-09-01 06:21,2024-09-01 06:51,2024-09-01 08:21,2024-09-01 08:27,6,Maintenance,True,True,Airbus A320,N55794,2791
1704212,American Airlines,7273,ATL,BOS,2024-09-01 05:09,2024-09-01 05:33,2024-09-01 10:09,2024-09-01 10:12,3,Weather,False,True,Boeing 777,N40749,2558
1704213,Delta,5238,JFK,MIA,2024-09-01 16:31,2024-09-01 16:53,2024-09-01 17:31,2024-09-01 17:33,2,Air Traffic Control,False,True,Boeing 737,N31264,2318
1704214,American Airlines,9087,DFW,JFK,2024-09-01 01:51,2024-09-01 02:12,2024-09-01 06:51,2024-09-01 06:46,-5,,True,True,Boeing 737,N29894,908
1704215,American Airlines,1582,JFK,JFK,2024-09-01 00:28,2024-09-01 00:50,2024-09-01 02:28,2024-09-01 02:47,19,Air Traffic Control,True,True,Boeing 737,N86225,959
1704216,Southwest,3350,ATL,SEA,2024-09-01 04:11,2024-09-01 04:27,2024-09-01 06:11,2024-09-01 06:20,9,Weather,True,True,Airbus A320,N50287,1944
1704217,Southwest,2282,JFK,SFO,2024-09-01 19:28,2024-09-01 19:34,2024-09-02 01:28,2024-09-02 01:34,6,Weather,True,True,Airbus A320,N15906,2304
1704218,United,7180,ATL,BOS,2024-09-01 17:16,2024-09-01 17:28,2024-09-01 18:16,2024-09-01 18:21,5,Weather,False,True,Boeing 777,N47405,1125
1704219,American Airlines,4575,DFW,BOS,2024-09-01 01:56,2024-09-01 01:59,2024-09-01 05:56,2024-09-01 06:05,9,Maintenance,True,True,Airbus A320,N32249,993
1704220,Delta,1279,ATL,SEA,2024-09-01 12:38,2024-09-01 12:43,2024-09-01 13:38,2024-09-01 14:05,27,Maintenance,False,False,Boeing 777,N26185,2022
1704221,Southwest,3458,ORD,SEA,2024-09-01 13:05,2024-09-01 13:20,2024-09-01 14:05,2024-09-01 13:56,-9,,True,False,Boeing 777,N90923,2724
1704222,Delta,8120,LAX,SFO,2024-09-01 21:21,2024-09-01 21:40,2024-09-02 01:21,2024-09-02 01:16,-5,,False,False,Boeing 777,N45057,1600
1704223,United,2416,ATL,SEA,2024-09-01 12:21,2024-09-01 12:39,2024-09-01 14:21,2024-09-01 14:49,28,Weather,True,True,Boeing 737,N46342,127
1704224,Delta,8503,ORD,SEA,2024-09-01 03:31,2024-09-01 03:47,2024-09-01 07:31,2024-09-01 07:44,13,Air Traffic Control,True,False,Airbus A320,N15389,565
1704225,American Airlines,6770,ATL,MIA,2024-09-01 22:45,2024-09-01 22:46,2024-09-02 01:45,2024-09-02 02:12,27,Air Traffic Control,False,False,Airbus A320,N78532,761
1704226,Delta,5297,ATL,MIA,2024-09-01 17:43,2024-09-01 17:57,2024-09-01 23:43,2024-09-01 23:38,-5,,False,False,Boeing 777,N86892,367
1704227,American Airlines,7965,DFW,JFK,2024-09-01 06:29,2024-09-01 06:50,2024-09-01 09:29,2024-09-01 09:40,11,Air Traffic Control,True,True,Boeing 777,N47915,972
1704228,Delta,1224,ORD,SFO,2024-09-01 16:59,2024-09-01 17:17,2024-09-01 18:59,2024-09-01 19:10,11,Air Traffic Control,False,True,Boeing 777,N66741,2128
1704229,United,2338,LAX,JFK,2024-09-01 22:59,2024-09-01 23:20,2024-09-02 02:59,2024-09-02 03:13,14,Weather,False,True,Boeing 777,N64294,2056
1704230,Southwest,8943,ORD,BOS,2024-09-01 20:12,2024-09-01 20:20,2024-09-02 02:12,2024-09-02 02:23,11,Air Traffic Control,True,True,Boeing 777,N78711,2608
1704231,Delta,9817,ATL,BOS,2024-09-01 00:01,2024-09-01 00:01,2024-09-01 02:01,2024-09-01 02:31,30,Air Traffic Control,True,True,Boeing 737,N70567,1521
1704232,Southwest,6999,LAX,SFO,2024-09-01 21:40,2024-09-01 21:45,2024-09-01 22:40,2024-09-01 22:58,18,Air Traffic Control,True,False,Boeing 737,N47702,2258
1704233,American Airlines,6767,LAX,BOS,2024-09-01 23:04,2024-09-01 23:10,2024-09-02 03:04,2024-09-02 03:14,10,Weather,False,True,Boeing 737,N16850,1285
1704234,United,2098,DFW,BOS,2024-09-01 09:36,2024-09-01 09:59,2024-09-01 13:36,2024-09-01 14:02,26,Weather,False,False,Airbus A320,N65205,1838
1704235,Delta,7456,JFK,JFK,2024-09-01 22:42,2024-09-01 23:12,2024-09-02 04:42,2024-09-02 05:04,22,Weather,False,False,Airbus A320,N47602,2908
1704236,American Airlines,3035,ORD,SEA,2024-09-01 03:20,2024-09-01 03:38,2024-09-01 07:20,2024-09-01 07:12,-8,,True,True,Boeing 737,N39012,2804
1704237,American Airlines,7218,JFK,BOS,2024-09-01 09:30,2024-09-01 09:39,2024-09-01 12:30,2024-09-01 12:28,-2,,True,False,Airbus A320,N13723,2435
1704238,Southwest,4236,DFW,JFK,2024-09-01 16:16,2024-09-01 16:18,2024-09-01 20:16,2024-09-01 20:36,20,Weather,True,False,Boeing 777,N25806,2467
1704239,American Airlines,2444,DFW,SFO,2024-09-01 06:53,2024-09-01 06:58,2024-09-01 10:53,2024-09-01 10:52,-1,,False,False,Airbus A320,N65895,2736
1704240,Southwest,1711,DFW,BOS,2024-09-01 04:58,2024-09-01 05:12,2024-09-01 06:58,2024-09-01 07:13,15,Air Traffic Control,True,True,Boeing 737,N80994,866
1704241,United,0640,DFW,SEA,2024-09-01 07:46,2024-09-01 08:09,2024-09-01 10:46,2024-09-01 10:51,5,Weather,False,True,Boeing 777,N66830,431
1704242,United,9103,ORD,SEA,2024-09-01 14:39,2024-09-01 14:43,2024-09-01 19:39,2024-09-01 20:04,25,Maintenance,True,False,Boeing 777,N92257,956
1704243,Delta,5810,LAX,JFK,2024-09-01 00:19,2024-09-01 00:49,2024-09-01 03:19,2024-09-01 03:29,10,Maintenance,False,False,Boeing 777,N77706,624
1704244,Southwest,3595,JFK,MIA,2024-09-01 14:08,2024-09-01 14:32,2024-09-01 19:08,2024-09-01 19:12,4,Air Traffic Control,False,True,Airbus A320,N96392,265
1704245,Delta,5172,LAX,JFK,2024-09-01 05:30,2024-09-01 05:32,2024-09-01 09:30,2024-09-01 10:00,30,Maintenance,True,False,Boeing 737,N18554,595
1704246,United,0838,DFW,SEA,2024-09-01 02:53,2024-09-01 03:16,2024-09-01 08:53,2024-09-01 09:06,13,Maintenance,True,False,Boeing 737,N77028,1496
1704247,United,4030,ATL,MIA,2024-09-01 17:49,2024-09-01 18:08,2024-09-01 18:49,2024-09-01 19:12,23,Maintenance,False,False,Boeing 737,N94626,551
1704248,American Airlines,1225,LAX,SFO,2024-09-01 16:30,2024-09-01 16:57,2024-09-01 19:30,2024-09-01 19:35,5,Weather,False,True,Boeing 777,N15392,2651
1704249,Delta,8270,ORD,MIA,2024-09-01 00:58,2024-09-01 01:08,2024-09-01 05:58,2024-09-01 06:12,14,Air Traffic Control,False,False,Boeing 777,N39551,1180
1704250,Southwest,1653,ORD,SEA,2024-09-01 18:53,2024-09-01 19:21,2024-09-01 23:53,2024-09-02 00:21,28,Air Traffic Control,True,True,Boeing 737,N71991,615
1704251,American Airlines,2744,DFW,JFK,2024-09-01 15:43,2024-09-01 15:53,2024-09-01 16:43,2024-09-01 17:04,21,Maintenance,True,True,Boeing 777,N48542,1047
1704252,Southwest,9919,DFW,JFK,2024-09-01 16:52,2024-09-01 16:52,2024-09-01 22:52,2024-09-01 23:11,19,Weather,True,False,Boeing 737,N32313,639
1704253,Delta,2143,ATL,BOS,2024-09-01 18:55,2024-09-01 19:08,2024-09-01 21:55,2024-09-01 22:21,26,Air Traffic Control,True,False,Boeing 777,N44151,1320
1704254,Southwest,7743,LAX,SFO,2024-09-01 23:39,2024-09-01 23:39,2024-09-02 04:39,2024-09-02 05:09,30,Air Traffic Control,True,True,Airbus A320,N95168,431
1704255,United,4546,ORD,JFK,2024-09-01 01:31,2024-09-01 01:36,2024-09-01 07:31,2024-09-01 07:41,10,Weather,False,False,Airbus A320,N47508,1486
1704256,Delta,6209,DFW,SFO,2024-09-01 11:48,2024-09-01 12:04,2024-09-01 15:48,2024-09-01 15:53,5,Weather,True,True,Airbus A320,N78618,432
1704257,Delta,4692,JFK,BOS,2024-09-01 19:38,2024-09-01 19:50,2024-09-01 20:38,2024-09-01 20:36,-2,,False,True,Boeing 737,N54047,2975
1704258,American Airlines,1726,LAX,SEA,2024-09-01 20:48,2024-09-01 20:56,2024-09-01 22:48,2024-09-01 22:46,-2,,True,False,Boeing 737,N88710,568
1704259,Delta,8035,ATL,JFK,2024-09-01 19:41,2024-09-01 19:54,2024-09-01 21:41,2024-09-01 22:06,25,Air Traffic Control,False,True,Airbus A320,N35813,2905
1704260,United,7733,ORD,BOS,2024-09-01 09:38,2024-09-01 09:49,2024-09-01 11:38,2024-09-01 11:29,-9,,True,False,Boeing 737,N13898,554
1704261,Southwest,4908,LAX,JFK,2024-09-01 22:14,2024-09-01 22:20,2024-09-02 04:14,2024-09-02 04:05,-9,,False,False,Boeing 737,N36026,2050
1704262,United,5847,LAX,MIA,2024-09-01 02:40,2024-09-01 02:52,2024-09-01 07:40,2024-09-01 07:58,18,Maintenance,True,False,Boeing 777,N69630,2271
1704263,Southwest,9044,LAX,SEA,2024-09-01 22:42,2024-09-01 23:03,2024-09-01 23:42,2024-09-02 00:01,19,Weather,True,True,Boeing 777,N28539,688
1704264,American Airlines,4127,JFK,JFK,2024-09-01 20:33,2024-09-01 20:41,2024-09-02 00:33,2024-09-02 00:56,23,Maintenance,False,True,Airbus A320,N27964,1314
1704265,United,4012,ATL,JFK,2024-09-01 04:42,2024-09-01 05:03,2024-09-01 08:42,2024-09-01 09:05,23,Weather,True,True,Boeing 737,N34280,449
1704266,American Airlines,7777,DFW,SEA,2024-09-01 11:54,2024-09-01 12:22,2024-09-01 14:54,2024-09-01 15:10,16,Weather,True,False,Airbus A320,N63295,1034
1704267,American Airlines,8007,ORD,JFK,2024-09-01 23:01,2024-09-01 23:08,2024-09-02 01:01,2024-09-02 01:18,17,Air Traffic Control,False,True,Airbus A320,N14755,891
1704268,American Airlines,0651,ATL,BOS,2024-09-01 21:50,2024-09-01 22:11,2024-09-02 00:50,2024-09-02 01:09,19,Weather,False,True,Airbus A320,N19165,2895
1704269,United,4981,LAX,MIA,2024-09-01 10:21,2024-09-01 10:44,2024-09-01 13:21,2024-09-01 13:31,10,Air Traffic Control,False,True,Airbus A320,N13037,1883
1704270,American Airlines,9023,JFK,SEA,2024-09-01 13:53,2024-09-01 14:23,2024-09-01 15:53,2024-09-01 16:06,13,Maintenance,False,False,Airbus A320,N77632,2295
1704271,Delta,1771,DFW,BOS,2024-09-01 08:01,2024-09-01 08:31,2024-09-01 13:01,2024-09-01 13:06,5,Air Traffic Control,True,False,Airbus A320,N50055,2838
1704272,Southwest,6503,ORD,SEA,2024-09-01 20:42,2024-09-01 21:10,2024-09-02 02:42,2024-09-02 02:43,1,Maintenance,False,False,Airbus A320,N72527,1258
1704273,United,2277,LAX,BOS,2024-09-01 16:18,2024-09-01 16:41,2024-09-01 21:18,2024-09-01 21:31,13,Air Traffic Control,True,False,Boeing 737,N89599,2841
1704274,American Airlines,5394,ORD,JFK,2024-09-01 16:58,2024-09-01 17:28,2024-09-01 19:58,2024-09-01 20:24,26,Maintenance,True,False,Airbus A320,N35658,2758
1704275,United,3137,LAX,MIA,2024-09-01 16:07,2024-09-01 16:24,2024-09-01 19:07,2024-09-01 19:08,1,Weather,True,True,Airbus A320,N96427,1646
1704276,United,9243,ORD,BOS,2024-09-01 14:32,2024-09-01 14:46,2024-09-01 16:32,2024-09-01 16:50,18,Maintenance,True,False,Boeing 777,N67049,2996
1704277,Delta,0562,ATL,SEA,2024-09-01 09:30,2024-09-01 09:32,2024-09-01 15:30,2024-09-01 15:29,-1,,True,True,Boeing 777,N95368,1990
1704278,United,9493,ATL,BOS,2024-09-01 12:28,2024-09-01 12:35,2024-09-01 14:28,2024-09-01 14:42,14,Maintenance,False,True,Boeing 737,N20835,2398
1704279,American Airlines,7356,ATL,MIA,2024-09-01 17:35,2024-09-01 17:42,2024-09-01 21:35,2024-09-01 21:59,24,Maintenance,False,True,Airbus A320,N10637,394
1704280,American Airlines,1525,LAX,MIA,2024-09-01 13:54,2024-09-01 14:01,2024-09-01 19:54,2024-09-01 19:48,-6,,True,False,Boeing 777,N70812,416
1704281,Southwest,2706,ATL,MIA,2024-09-01 09:14,2024-09-01 09:16,2024-09-01 13:14,2024-09-01 13:11,-3,,False,False,Boeing 777,N90472,1439
1704282,United,9687,JFK,SFO,2024-09-01 01:58,2024-09-01 02:22,2024-09-01 07:58,2024-09-01 07:49,-9,,False,True,Boeing 737,N89505,2924
1704283,Southwest,1155,DFW,BOS,2024-09-01 03:12,2024-09-01 03:32,2024-09-01 05:12,2024-09-01 05:36,24,Air Traffic Control,False,True,Boeing 777,N94380,1293
1704284,United,1338,JFK,SFO,2024-09-01 14:06,2024-09-01 14:06,2024-09-01 19:06,2024-09-01 19:06,0,,True,False,Boeing 737,N36007,2516
1704285,American Airlines,5083,DFW,SEA,2024-09-01 07:04,2024-09-01 07:17,2024-09-01 13:04,2024-09-01 13:24,20,Weather,False,True,Airbus A320,N11627,2702
1704286,Southwest,9120,LAX,JFK,2024-09-01 12:02,2024-09-01 12:22,2024-09-01 17:02,2024-09-01 17:27,25,Weather,True,True,Boeing 777,N96848,126
1704287,American Airlines,9833,ATL,JFK,2024-09-01 08:42,2024-09-01 09:10,2024-09-01 14:42,2024-09-01 14:42,0,,True,True,Boeing 777,N38600,845
1704288,Southwest,0159,DFW,SFO,2024-09-01 19:45,2024-09-01 19:54,2024-09-01 20:45,2024-09-01 21:06,21,Weather,False,True,Boeing 737,N81202,1956
1704289,United,6796,ORD,SFO,2024-09-01 06:10,2024-09-01 06:29,2024-09-01 09:10,2024-09-01 09:16,6,Weather,True,True,Airbus A320,N90561,2389
1704290,American Airlines,8715,LAX,BOS,2024-09-01 12:31,2024-09-01 12:40,2024-09-01 18:31,2024-09-01 18:22,-9,,False,False,Boeing 777,N40224,1615
1704291,United,0996,ATL,MIA,2024-09-01 21:04,2024-09-01 21:08,2024-09-01 23:04,2024-09-01 23:00,-4,,True,True,Boeing 737,N77634,1867
1704292,Southwest,4402,DFW,MIA,2024-09-01 11:26,2024-09-01 11:29,2024-09-01 16:26,2024-09-01 16:19,-7,,False,True,Boeing 737,N11818,300
1704293,American Airlines,6629,DFW,SEA,2024-09-01 10:59,2024-09-01 11:09,2024-09-01 14:59,2024-09-01 15:06,7,Weather,True,False,Boeing 737,N81412,2086
1704294,American Airlines,8302,ATL,BOS,2024-09-01 09:02,2024-09-01 09:28,2024-09-01 15:02,2024-09-01 15:26,24,Air Traffic Control,True,True,Airbus A320,N15701,1894
1704295,United,2021,JFK,SFO,2024-09-01 14:10,2024-09-01 14:10,2024-09-01 17:10,2024-09-01 17:38,28,Air Traffic Control,True,True,Boeing 777,N96472,499
1704296,Southwest,0446,LAX,SEA,2024-09-01 06:45,2024-09-01 07:15,2024-09-01 07:45,2024-09-01 07:48,3,Air Traffic Control,True,True,Boeing 737,N57655,2247
1704297,American Airlines,6654,JFK,JFK,2024-09-01 08:36,2024-09-01 08:56,2024-09-01 14:36,2024-09-01 14:50,14,Weather,False,True,Boeing 737,N90769,659
1704298,Delta,1443,DFW,MIA,2024-09-01 14:38,2024-09-01 14:44,2024-09-01 19:38,2024-09-01 20:01,23,Air Traffic Control,True,True,Boeing 777,N90666,2319
1704299,United,6520,JFK,MIA,2024-09-01 05:07,2024-09-01 05:16,2024-09-01 07:07,2024-09-01 07:19,12,Maintenance,True,False,Airbus A320,N64037,876
1704300,Southwest,3103,ATL,BOS,2024-09-01 14:39,2024-09-01 14:54,2024-09-01 16:39,2024-09-01 17:01,22,Air Traffic Control,False,False,Boeing 777,N17106,804
1704301,Delta,0145,ATL,MIA,2024-09-01 14:05,2024-09-01 14:31,2024-09-01 16:05,2024-09-01 16:22,17,Air Traffic Control,True,True,Boeing 777,N32909,1845
1704302,Southwest,8717,LAX,JFK,2024-09-01 06:42,2024-09-01 07:09,2024-09-01 07:42,2024-09-01 08:02,20,Maintenance,True,True,Boeing 777,N76777,1985
1704303,United,7209,ORD,SEA,2024-09-01 07:53,2024-09-01 08:19,2024-09-01 13:53,2024-09-01 13:48,-5,,False,False,Boeing 777,N83343,394
1704304,United,4130,ATL,SEA,2024-09-01 08:31,2024-09-01 08:55,2024-09-01 14:31,2024-09-01 14:24,-7,,True,False,Boeing 737,N81700,565
1704305,American Airlines,9048,JFK,JFK,2024-09-01 10:31,2024-09-01 10:42,2024-09-01 14:31,2024-09-01 15:00,29,Maintenance,True,True,Boeing 777,N83925,2450
1704306,Delta,7604,JFK,MIA,2024-09-01 23:37,2024-09-02 00:06,2024-09-02 00:37,2024-09-02 00:45,8,Maintenance,False,True,Boeing 777,N23026,2266
1704307,Delta,1086,JFK,JFK,2024-09-01 14:37,2024-09-01 14:53,2024-09-01 19:37,2024-09-01 19:58,21,Maintenance,True,True,Airbus A320,N90770,2477
1704308,Southwest,8798,ORD,SFO,2024-09-01 03:11,2024-09-01 03:20,2024-09-01 09:11,2024-09-01 09:26,15,Air Traffic Control,True,False,Airbus A320,N19006,2120
1704309,American Airlines,5705,DFW,MIA,2024-09-01 20:41,2024-09-01 21:05,2024-09-02 02:41,2024-09-02 02:53,12,Weather,False,False,Boeing 737,N32773,1892
1704310,Southwest,8038,LAX,JFK,2024-09-01 17:36,2024-09-01 17:50,2024-09-01 22:36,2024-09-01 23:00,24,Air Traffic Control,True,False,Airbus A320,N55041,1923
1704311,United,7841,ATL,JFK,2024-09-01 15:27,2024-09-01 15:45,2024-09-01 20:27,2024-09-01 20:46,19,Air Traffic Control,True,False,Boeing 737,N16946,2110
